ProductName,Version,OEM,SeverityLevel,Vulnerability,MitigationStrategy,PublishedDate,UniqueID
Security Bulletin: NVIDIA CUDA Toolkit - October 2020,N/A,NVIDIA,Medium,CVE-2020-5991,https://nvidia.custhelp.com/app/answers/detail/a_id/5094,29 Oct 2020,29 Oct 2020
"Security Bulletin: AMI Baseboard Management Controller (BMC) Firmware Vulnerabilities in NVIDIA DGX-1, DGX-2, and DGX A100 Servers - October 2020",N/A,NVIDIA,Critical,"CVE-2020-11483, CVE-2020-11484, CVE-2020-11485, CVE-2020-11486, CVE-2020-11487, CVE-2020-11488, CVE-2020-11489, CVE-2020-11615, CVE-2020-11616",https://nvidia.custhelp.com/app/answers/detail/a_id/5010,28 Oct 2020,01 Dec 2020
Security Bulletin: NVIDIA GeForce Experience - October 2020,N/A,NVIDIA,High,"CVE-2020-5977, CVE-2020-5978, CVE-2020-5990",https://nvidia.custhelp.com/app/answers/detail/a_id/5076,22 Oct 2020,28 Oct 2020
Security Bulletin: NVIDIA GPU Display Driver - September 2020,N/A,NVIDIA,High,"CVE-2020-5979, CVE-2020-5980, CVE-2020-5981, CVE-2020-5982, CVE-2020-5983, CVE-2020-5984, CVE-2020-5985 CVE-2020-5986, CVE-2020-5987, CVE-2020-5988, CVE-2020-5989",https://nvidia.custhelp.com/app/answers/detail/a_id/5075,10 Oct 2020,10 Oct 2020
Security Bulletin: NVIDIA GeForce NOW - September 2020,N/A,NVIDIA,Medium,"CVE-2020-5975, CVE-2020-5976",https://nvidia.custhelp.com/app/answers/detail/a_id/5052,16 Sep 2020,16 Sep 2020
Security Notice: NVIDIA Response to Cisco Talos Report - July 2020,N/A,NVIDIA,NVIDIA products are not affected,"CVE-2020-1032, CVE-2020-1036, CVE-2020-1040, CVE-2020-1041, CVE-2020-1042, CVE-2020-1043, CVE-2020-6100, CVE-2020-6101, CVE-2020-6102, CVE-2020-6103",https://nvidia.custhelp.com/app/answers/detail/a_id/5044,16 Jul 2020,16 Jul 2020
"Security Bulletin: NVIDIA Jetson AGX Xavier, TX1, TX2, and Nano L4T - July 2020",N/A,NVIDIA,High,CVE-2020-5974,https://nvidia.custhelp.com/app/answers/detail/a_id/5039,08 Jul 2020,08 Jul 2020
Security Bulletin: NVIDIA GeForce Experience - July 2020,N/A,NVIDIA,High,CVE-2020-5964,https://nvidia.custhelp.com/app/answers/detail/a_id/5038,07 Jul 2020,07 Jul 2020
Security Bulletin: NVIDIA GPU Display Driver - June 2020,N/A,NVIDIA,High,"CVE-2020-5962 CVE-2020-5963 CVE-2020-5964, CVE-2020-5965, CVE-2020-5966, CVE-2020-5967, CVE-2020-5968, CVE-2020-5969, CVE-2020-5970, CVE-2020-5971, CVE-2020-5972, CVE-2020-5973",https://nvidia.custhelp.com/app/answers/detail/a_id/5031,24 Jun 2020,16 Jul 2020
Security Notice: NVIDIA Response to Ripple20 - June 2020,N/A,NVIDIA,NVIDIA products are not affected,"CVE-2020-11896, CVE-2020-11897, CVE-2020-11898, CVE-2020-11899, CVE-2020-11900, CVE-2020-11901, CVE-2020-11902, CVE-2020-11903, CVE-2020-11904, CVE-2020-11905, CVE-2020-11906, CVE-2020-11907, CVE-2020-11908, CVE-2020-11909, CVE-2020-11910, CVE-2020-11911, CVE-2020-11912, CVE-2020-11913, CVE-2020-11914",https://nvidia.custhelp.com/app/answers/detail/a_id/5033,22 Jun 2020,22 Jun 2020
